abba,Positive,1
ability,Positive,1
abovementioned,Positive,1
absolute,Positive,1
absolution,Positive,1
absorbed,Positive,1
abundance,Positive,1
abundant,Positive,1
academic,Positive,1
academy,Positive,1
acceptable,Positive,1
acceptance,Positive,1
accessible,Positive,1
accolade,Positive,1
accommodation,Positive,1
accompaniment,Positive,1
accomplish,Positive,1
accomplished,Positive,1
accomplishment,Positive,1
accord,Positive,1
accountability,Positive,1
accountable,Positive,1
accredited,Positive,1
accueil,Positive,1
accurate,Positive,1
ace,Positive,1
achieve,Positive,1
achievement,Positive,1
acknowledgment,Positive,1
acquire,Positive,1
acquiring,Positive,1
acrobat,Positive,1
action,Positive,1
actual,Positive,1
acuity,Positive,1
acumen,Positive,1
adapt,Positive,1
adaptable,Positive,1
addresses,Positive,1
adept,Positive,1
adequacy,Positive,1
adjunct,Positive,1
admirable,Positive,1
admiral,Positive,1
admiration,Positive,1
admire,Positive,1
admirer,Positive,1
admissible,Positive,1
adorable,Positive,1
adoration,Positive,1
adore,Positive,1
advance,Positive,1
advanced,Positive,1
advancement,Positive,1
advantage,Positive,1
advantageous,Positive,1
advent,Positive,1
adventure,Positive,1
adventurous,Positive,1
advisable,Positive,1
advise,Positive,1
adviser,Positive,1
advocacy,Positive,1
aesthetic,Positive,1
aesthetics,Positive,1
affable,Positive,1
affection,Positive,1
affiliated,Positive,1
affirm,Positive,1
affirmation,Positive,1
affirmative,Positive,1
affirmatively,Positive,1
affluence,Positive,1
affluent,Positive,1
afford,Positive,1
aga,Positive,1
agile,Positive,1
agility,Positive,1
agree,Positive,1
agreeable,Positive,1
agreed,Positive,1
agreeing,Positive,1
agreement,Positive,1
agriculture,Positive,1
ahead,Positive,1
aid,Positive,1
aiding,Positive,1
alabaster,Positive,1
alertness,Positive,1
alimentation,Positive,1
alive,Positive,1
allay,Positive,1
allegiance,Positive,1
allegro,Positive,1
alleviate,Positive,1
alleviation,Positive,1
allied,Positive,1
allowable,Positive,1
allure,Positive,1
alluring,Positive,1
ally,Positive,1
almighty,Positive,1
aloha,Positive,1
amazingly,Positive,1
ambassador,Positive,1
ambition,Positive,1
ameliorate,Positive,1
amen,Positive,1
amenable,Positive,1
amend,Positive,1
amends,Positive,1
amenity,Positive,1
amiable,Positive,1
amicable,Positive,1
amnesty,Positive,1
amour,Positive,1
amuse,Positive,1
amused,Positive,1
amusement,Positive,1
amusing,Positive,1
analyst,Positive,1
anchor,Positive,1
anchorage,Positive,1
angel,Positive,1
angelic,Positive,1
animate,Positive,1
animated,Positive,1
antibiotics,Positive,1
antidote,Positive,1
antifungal,Positive,1
antique,Positive,1
antiseptic,Positive,1
aplomb,Positive,1
apologetic,Positive,1
apologize,Positive,1
apology,Positive,1
apostle,Positive,1
applause,Positive,1
appreciation,Positive,1
approbation,Positive,1
approval,Positive,1
approve,Positive,1
approving,Positive,1
apt,Positive,1
aptitude,Positive,1
archaeology,Positive,1
ardent,Positive,1
ardor,Positive,1
aristocracy,Positive,1
aristocratic,Positive,1
armed,Positive,1
armor,Positive,1
aroma,Positive,1
arouse,Positive,1
array,Positive,1
art,Positive,1
articulate,Positive,1
articulation,Positive,1
artisan,Positive,1
artiste,Positive,1
artistic,Positive,1
ascendancy,Positive,1
ascent,Positive,1
aspiration,Positive,1
aspire,Positive,1
aspiring,Positive,1
assembly,Positive,1
assent,Positive,1
asserting,Positive,1
assets,Positive,1
assist,Positive,1
assistance,Positive,1
associate,Positive,1
assuage,Positive,1
assurance,Positive,1
assured,Positive,1
astonishingly,Positive,1
astonishment,Positive,1
astrologer,Positive,1
astronaut,Positive,1
astronomer,Positive,1
astute,Positive,1
athlete,Positive,1
athletic,Positive,1
atom,Positive,1
atone,Positive,1
atonement,Positive,1
attachment,Positive,1
attainable,Positive,1
attainment,Positive,1
attendant,Positive,1
attention,Positive,1
attentive,Positive,1
attest,Positive,1
attorney,Positive,1
attraction,Positive,1
attractiveness,Positive,1
augment,Positive,1
august,Positive,1
aunt,Positive,1
aura,Positive,1
auspicious,Positive,1
authentic,Positive,1
authenticity,Positive,1
author,Positive,1
authoritative,Positive,1
authority,Positive,1
authorization,Positive,1
authorized,Positive,1
avatar,Positive,1
award,Positive,1
ay,Positive,1
aye,Positive,1
baby,Positive,1
baccalaureate,Positive,1
backbone,Positive,1
balance,Positive,1
balanced,Positive,1
ballad,Positive,1
ballet,Positive,1
ballot,Positive,1
balm,Positive,1
balsam,Positive,1
banquet,Positive,1
baptism,Positive,1
baptismal,Positive,1
bard,Positive,1
bargain,Positive,1
basketball,Positive,1
bastion,Positive,1
bath,Positive,1
beam,Positive,1
beaming,Positive,1
beautification,Positive,1
beautiful,Positive,1
beautify,Positive,1
beauty,Positive,1
bedrock,Positive,1
beer,Positive,1
befitting,Positive,1
befriend,Positive,1
believing,Positive,1
benefactor,Positive,1
beneficial,Positive,1
benefit,Positive,1
benevolence,Positive,1
benign,Positive,1
berth,Positive,1
betrothed,Positive,1
betterment,Positive,1
beverage,Positive,1
biblical,Positive,1
bilingual,Positive,1
birth,Positive,1
birthday,Positive,1
blameless,Positive,1
bless,Positive,1
blessed,Positive,1
blessing,Positive,1
blessings,Positive,1
bliss,Positive,1
blissful,Positive,1
bloodless,Positive,1
bloom,Positive,1
blossom,Positive,1
boast,Positive,1
bodyguard,Positive,1
boisterous,Positive,1
bold,Positive,1
boldness,Positive,1
bolster,Positive,1
bonanza,Positive,1
bonne,Positive,1
bonus,Positive,1
bookish,Positive,1
bookshop,Positive,1
bookworm,Positive,1
boon,Positive,1
bountiful,Positive,1
bounty,Positive,1
bouquet,Positive,1
brains,Positive,1
bravery,Positive,1
breakfast,Positive,1
bridal,Positive,1
bride,Positive,1
bridegroom,Positive,1
bridesmaid,Positive,1
brighten,Positive,1
brightness,Positive,1
brilliant,Positive,1
brocade,Positive,1
brother,Positive,1
brotherhood,Positive,1
brotherly,Positive,1
buck,Positive,1
buddy,Positive,1
build,Positive,1
building,Positive,1
bulldog,Positive,1
bulletproof,Positive,1
buoy,Positive,1
buss,Positive,1
butler,Positive,1
buttery,Positive,1
buxom,Positive,1
buzz,Positive,1
cab,Positive,1
cabinet,Positive,1
cafe,Positive,1
calculator,Positive,1
calf,Positive,1
calm,Positive,1
canary,Positive,1
candid,Positive,1
candidate,Positive,1
candied,Positive,1
capitalist,Positive,1
captain,Positive,1
captivate,Positive,1
captivating,Positive,1
career,Positive,1
careful,Positive,1
carefully,Positive,1
caress,Positive,1
caretaker,Positive,1
carol,Positive,1
cascade,Positive,1
cash,Positive,1
categorical,Positive,1
cater,Positive,1
cathartic,Positive,1
cathedral,Positive,1
cautious,Positive,1
cautiously,Positive,1
celebrated,Positive,1
celebrating,Positive,1
celebration,Positive,1
celebrity,Positive,1
celestial,Positive,1
center,Positive,1
centurion,Positive,1
cerebral,Positive,1
ceremony,Positive,1
certainty,Positive,1
chairman,Positive,1
chairwoman,Positive,1
champion,Positive,1
chant,Positive,1
charger,Positive,1
charitable,Positive,1
charity,Positive,1
charm,Positive,1
charmed,Positive,1
charming,Positive,1
chastity,Positive,1
chattering,Positive,1
checklist,Positive,1
cheer,Positive,1
cheerful,Positive,1
cheerfulness,Positive,1
cheering,Positive,1
cheery,Positive,1
chemist,Positive,1
cherish,Positive,1
cherry,Positive,1
chieftain,Positive,1
child,Positive,1
childhood,Positive,1
chirp,Positive,1
chisel,Positive,1
chivalry,Positive,1
chocolate,Positive,1
choice,Positive,1
choir,Positive,1
choral,Positive,1
chorus,Positive,1
chosen,Positive,1
chowder,Positive,1
chronicle,Positive,1
chuckle,Positive,1
church,Positive,1
cider,Positive,1
circumcision,Positive,1
circumvention,Positive,1
citizen,Positive,1
civil,Positive,1
civility,Positive,1
civilization,Positive,1
civilized,Positive,1
clairvoyant,Positive,1
clap,Positive,1
clarify,Positive,1
classic,Positive,1
classical,Positive,1
classics,Positive,1
classify,Positive,1
clean,Positive,1
cleaning,Positive,1
cleanliness,Positive,1
cleanly,Positive,1
cleanse,Positive,1
cleansing,Positive,1
clearance,Positive,1
clearness,Positive,1
clerical,Positive,1
clever,Positive,1
cleverness,Positive,1
climax,Positive,1
closeness,Positive,1
closure,Positive,1
clothe,Positive,1
clown,Positive,1
coalition,Positive,1
coast,Positive,1
coexist,Positive,1
cogent,Positive,1
cognitive,Positive,1
coherence,Positive,1
coherent,Positive,1
cohesive,Positive,1
collectively,Positive,1
colonel,Positive,1
colossal,Positive,1
comfort,Positive,1
commandant,Positive,1
commanding,Positive,1
commemorate,Positive,1
commemoration,Positive,1
commemorative,Positive,1
commend,Positive,1
commendable,Positive,1
commentator,Positive,1
committed,Positive,1
commodore,Positive,1
commonwealth,Positive,1
communicate,Positive,1
communicative,Positive,1
communion,Positive,1
community,Positive,1
commutation,Positive,1
commute,Positive,1
companion,Positive,1
compassion,Positive,1
compassionate,Positive,1
compatibility,Positive,1
compatible,Positive,1
compelling,Positive,1
compensate,Positive,1
compensatory,Positive,1
competence,Positive,1
competency,Positive,1
